#KPL:P: MVP-UC_LC
A a
A b
A c
A d
A e
A f
A g
A h
A i
A j
A k
A l
A m
A n
A o
A p
A q
A r
A s
A t
A u
A v
A w
A x
A y
A z
T a
T b
T c
T d
T e
T f
T g
T h
T i
T j
T k
T l
T m
T n
T o
T p
T q
T r
T s
T t
T u
T v
T w
T x
T y
T z
V a
V b
V c
V d
V e
V f
V g
V h
V i
V j
V k
V l
V m
V n
V o
V p
V q
V r
V s
V t
V u
V v
V w
V x
V y
V z
W a
W b
W c
W d
W e
W f
W g
W h
W i
W j
W k
W l
W m
W n
W o
W p
W q
W r
W s
W t
W u
W v
W w
W x
W y
W z
Y a
Y b
Y c
Y d
Y e
Y f
Y g
Y h
Y i
Y j
Y k
Y l
Y m
Y n
Y o
Y p
Y q
Y r
Y s
Y t
Y u
Y v
Y w
Y x
Y y
Y z
