#KPL:P: shantell-UC_UC_punc
A A
A B
B A
A C
C A
A D
D A
A E
E A
A F
F A
A G
G A
A H
H A
A I
I A
A J
J A
A K
K A
A L
L A
Lcaron A
A M
M A
A N
N A
A O
O A
A P
P A
A Q
Q A
A R
R A
A S
S A
A T
T A
A U
U A
A V
V A
A W
W A
A X
X A
A Y
Y A
A Z
Z A
A Oslash
Oslash A
A Thorn
Thorn A
A Dcroat
A IJ
A Lslash
Lslash A
Eng A
A Tbar
Tbar A
A Germandbls
Germandbls A
B B
B C
C B
B D
D B
B E
E B
B F
F B
B G
G B
B H
H B
B I
I B
B J
J B
B K
K B
B L
L B
Lcaron B
B M
M B
B N
N B
B O
O B
B P
P B
B Q
Q B
B R
R B
B S
S B
B T
T B
B U
U B
B V
V B
B W
W B
B X
X B
B Y
Y B
B Z
Z B
B Oslash
Oslash B
B Thorn
Thorn B
B Dcroat
B IJ
B Lslash
Lslash B
Eng B
B Tbar
Tbar B
B Germandbls
Germandbls B
C C
C D
D C
C E
E C
C F
F C
C G
G C
C H
H C
C I
I C
C J
J C
C K
K C
C L
L C
Lcaron C
C M
M C
C N
N C
C O
O C
C P
P C
C Q
Q C
C R
R C
C S
S C
C T
T C
C U
U C
C V
V C
C W
W C
C X
X C
C Y
Y C
C Z
Z C
C Oslash
Oslash C
C Thorn
Thorn C
C Dcroat
C IJ
C Lslash
Lslash C
Eng C
C Tbar
Tbar C
C Germandbls
Germandbls C
D D
D E
E D
D F
F D
D G
G D
D H
H D
D I
I D
D J
J D
D K
K D
D L
L D
Lcaron D
D M
M D
D N
N D
D O
O D
D P
P D
D Q
Q D
D R
R D
D S
S D
D T
T D
D U
U D
D V
V D
D W
W D
D X
X D
D Y
Y D
D Z
Z D
D Oslash
Oslash D
D Thorn
Thorn D
D Dcroat
D IJ
D Lslash
Lslash D
Eng D
D Tbar
Tbar D
D Germandbls
Germandbls D
E E
E F
F E
E G
G E
E H
H E
E I
I E
E J
J E
E K
K E
E L
L E
Lcaron E
E M
M E
E N
N E
E O
O E
E P
P E
E Q
Q E
E R
R E
E S
S E
E T
T E
E U
U E
E V
V E
E W
W E
E X
X E
E Y
Y E
E Z
Z E
E Oslash
Oslash E
E Thorn
Thorn E
E Dcroat
E IJ
E Lslash
Lslash E
Eng E
E Tbar
Tbar E
E Germandbls
Germandbls E
F F
F G
G F
F H
H F
F I
I F
F J
J F
F K
K F
F L
L F
Lcaron F
F M
M F
F N
N F
F O
O F
F P
P F
F Q
Q F
F R
R F
F S
S F
F T
T F
F U
U F
F V
V F
F W
W F
F X
X F
F Y
Y F
F Z
Z F
F Oslash
Oslash F
F Thorn
Thorn F
F Dcroat
F IJ
F Lslash
Lslash F
Eng F
F Tbar
Tbar F
F Germandbls
Germandbls F
G G
G H
H G
G I
I G
G J
J G
G K
K G
G L
L G
Lcaron G
G M
M G
G N
N G
G O
O G
G P
P G
G Q
Q G
G R
R G
G S
S G
G T
T G
G U
U G
G V
V G
G W
W G
G X
X G
G Y
Y G
G Z
Z G
G Oslash
Oslash G
G Thorn
Thorn G
G Dcroat
G IJ
G Lslash
Lslash G
Eng G
G Tbar
Tbar G
G Germandbls
Germandbls G
H H
H I
I H
H J
J H
H K
K H
H L
L H
Lcaron H
H M
M H
H N
N H
H O
O H
H P
P H
H Q
Q H
H R
R H
H S
S H
H T
T H
H U
U H
H V
V H
H W
W H
H X
X H
H Y
Y H
H Z
Z H
H Oslash
Oslash H
H Thorn
Thorn H
H Dcroat
H IJ
H Lslash
Lslash H
Eng H
H Tbar
Tbar H
H Germandbls
Germandbls H
I I
I J
J I
I K
K I
I L
L I
Lcaron I
I M
M I
I N
N I
I O
O I
I P
P I
I Q
Q I
I R
R I
I S
S I
I T
T I
I U
U I
I V
V I
I W
W I
I X
X I
I Y
Y I
I Z
Z I
I Oslash
Oslash I
I Thorn
Thorn I
I Dcroat
I IJ
I Lslash
Lslash I
Eng I
I Tbar
Tbar I
I Germandbls
Germandbls I
J J
J K
K J
J L
L J
Lcaron J
J M
M J
J N
N J
J O
O J
J P
P J
J Q
Q J
J R
R J
J S
S J
J T
T J
J U
U J
J V
V J
J W
W J
J X
X J
J Y
Y J
J Z
Z J
J Oslash
Oslash J
J Thorn
Thorn J
J Dcroat
J IJ
J Lslash
Lslash J
Eng J
J Tbar
Tbar J
J Germandbls
Germandbls J
K K
K L
L K
Lcaron K
K M
M K
K N
N K
K O
O K
K P
P K
K Q
Q K
K R
R K
K S
S K
K T
T K
K U
U K
K V
V K
K W
W K
K X
X K
K Y
Y K
K Z
Z K
K Oslash
Oslash K
K Thorn
Thorn K
K Dcroat
K IJ
K Lslash
Lslash K
Eng K
K Tbar
Tbar K
K Germandbls
Germandbls K
L L
Lcaron L
L M
M L
L N
N L
L O
O L
L P
P L
L Q
Q L
L R
R L
L S
S L
L T
T L
L U
U L
L V
V L
L W
W L
L X
X L
L Y
Y L
L Z
Z L
L Oslash
Oslash L
L Thorn
Thorn L
L Dcroat
L IJ
L Lslash
Lslash L
Eng L
L Tbar
Tbar L
L Germandbls
Germandbls L
Lcaron M
Lcaron N
Lcaron O
Lcaron P
Lcaron Q
Lcaron R
Lcaron S
Lcaron T
Lcaron U
Lcaron V
Lcaron W
Lcaron X
Lcaron Y
Lcaron Z
Lcaron Oslash
Lcaron Thorn
Lcaron Dcroat
Lcaron IJ
Lcaron Lslash
Lcaron Tbar
Lcaron Germandbls
M M
M N
N M
M O
O M
M P
P M
M Q
Q M
M R
R M
M S
S M
M T
T M
M U
U M
M V
V M
M W
W M
M X
X M
M Y
Y M
M Z
Z M
M Oslash
Oslash M
M Thorn
Thorn M
M Dcroat
M IJ
M Lslash
Lslash M
Eng M
M Tbar
Tbar M
M Germandbls
Germandbls M
N N
N O
O N
N P
P N
N Q
Q N
N R
R N
N S
S N
N T
T N
N U
U N
N V
V N
N W
W N
N X
X N
N Y
Y N
N Z
Z N
N Oslash
Oslash N
N Thorn
Thorn N
N Dcroat
N IJ
N Lslash
Lslash N
Eng N
N Tbar
Tbar N
N Germandbls
Germandbls N
O O
O P
P O
O Q
Q O
O R
R O
O S
S O
O T
T O
O U
U O
O V
V O
O W
W O
O X
X O
O Y
Y O
O Z
Z O
O Oslash
Oslash O
O Thorn
Thorn O
O Dcroat
O IJ
O Lslash
Lslash O
Eng O
O Tbar
Tbar O
O Germandbls
Germandbls O
P P
P Q
Q P
P R
R P
P S
S P
P T
T P
P U
U P
P V
V P
P W
W P
P X
X P
P Y
Y P
P Z
Z P
P Oslash
