#KPL:P: UC_UC_punc
A A
A B
A C
A D
A E
A F
A G
A H
A I
A J
A K
A L
A M
A N
A O
A P
A Q
A R
A S
A T
A U
A V
A W
A X
A Y
A Z
A Oslash
A asterisk
A period
A comma
A colon
A semicolon
A exclam
A question
A slash
A backslash
B A
B B
B C
B D
B E
B F
B G
B H
B I
B J
B K
B L
B M
B N
B O
B P
B Q
B R
B S
B T
B U
B V
B W
B X
B Y
B Z
B Oslash
B asterisk
B period
B comma
B colon
B semicolon
B exclam
B question
B slash
B backslash
C A
C B
C C
C D
C E
C F
C G
C H
C I
C J
C K
C L
C M
C N
C O
C P
C Q
C R
C S
C T
C U
C V
C W
C X
C Y
C Z
C Oslash
C asterisk
C period
C comma
C colon
C semicolon
C exclam
C question
C slash
C backslash
D A
D B
D C
D D
D E
D F
D G
D H
D I
D J
D K
D L
D M
D N
D O
D P
D Q
D R
D S
D T
D U
D V
D W
D X
D Y
D Z
D Oslash
D asterisk
D period
D comma
D colon
D semicolon
D exclam
D question
D slash
D backslash
E A
E B
E C
E D
E E
E F
E G
E H
E I
E J
E K
E L
E M
E N
E O
E P
E Q
E R
E S
E T
E U
E V
E W
E X
E Y
E Z
E Oslash
E asterisk
E period
E comma
E colon
E semicolon
E exclam
E question
E slash
E backslash
F A
F B
F C
F D
F E
F F
F G
F H
F I
F J
F K
F L
F M
F N
F O
F P
F Q
F R
F S
F T
F U
F V
F W
F X
F Y
F Z
F Oslash
F asterisk
F period
F comma
F colon
F semicolon
F exclam
F question
F slash
F backslash
G A
G B
G C
G D
G E
G F
G G
G H
G I
G J
G K
G L
G M
G N
G O
G P
G Q
G R
G S
G T
G U
G V
G W
G X
G Y
G Z
G Oslash
G asterisk
G period
G comma
G colon
G semicolon
G exclam
G question
G slash
G backslash
H A
H B
H C
H D
H E
H F
H G
H H
H I
H J
H K
H L
H M
H N
H O
H P
H Q
H R
H S
H T
H U
H V
H W
H X
H Y
H Z
H Oslash
H asterisk
H period
H comma
H colon
H semicolon
H exclam
H question
H slash
H backslash
I A
I B
I C
I D
I E
I F
I G
I H
I I
I J
I K
I L
I M
I N
I O
I P
I Q
I R
I S
I T
I U
I V
I W
I X
I Y
I Z
I Oslash
I asterisk
I period
I comma
I colon
I semicolon
I exclam
I question
I slash
I backslash
J A
J B
J C
J D
J E
J F
J G
J H
J I
J J
J K
J L
J M
J N
J O
J P
J Q
J R
J S
J T
J U
J V
J W
J X
J Y
J Z
J Oslash
J asterisk
J period
J comma
J colon
J semicolon
J exclam
J question
J slash
J backslash
K A
K B
K C
K D
K E
K F
K G
K H
K I
K J
K K
K L
K M
K N
K O
K P
K Q
K R
K S
K T
K U
K V
K W
K X
K Y
K Z
K Oslash
K asterisk
K period
K comma
K colon
K semicolon
K exclam
K question
K slash
K backslash
L A
L B
L C
L D
L E
L F
L G
L H
L I
L J
L K
L L
L M
L N
L O
L P
L Q
L R
L S
L T
L U
L V
L W
L X
L Y
L Z
L Oslash
L asterisk
L period
L comma
L colon
L semicolon
L exclam
L question
L slash
L backslash
M A
M B
M C
M D
M E
M F
M G
M H
M I
M J
M K
M L
M M
M N
M O
M P
M Q
M R
M S
M T
M U
M V
M W
M X
M Y
M Z
M Oslash
M asterisk
M period
M comma
M colon
M semicolon
M exclam
M question
M slash
M backslash
N A
N B
N C
N D
N E
N F
N G
N H
N I
N J
N K
N L
N M
N N
N O
N P
N Q
N R
N S
N T
N U
N V
N W
N X
N Y
N Z
N Oslash
N asterisk
N period
N comma
N colon
N semicolon
N exclam
N question
N slash
N backslash
O A
O B
O C
O D
O E
O F
O G
O H
O I
O J
O K
O L
O M
O N
O O
O P
O Q
O R
O S
O T
O U
O V
O W
O X
O Y
O Z
O Oslash
O asterisk
O period
O comma
O colon
O semicolon
O exclam
O question
O slash
O backslash
P A
P B
P C
P D
P E
P F
P G
P H
P I
P J
P K
P L
P M
P N
P O
P P
P Q
P R
P S
P T
P U
P V
P W
P X
P Y
P Z
P Oslash
P asterisk
P period
P comma
P colon
P semicolon
P exclam
P question
P slash
P backslash
Q A
Q B
Q C
Q D
Q E
Q F
Q G
Q H
Q I
Q J
Q K
Q L
Q M
Q N
Q O
Q P
Q Q
Q R
Q S
Q T
Q U
Q V
Q W
Q X
Q Y
Q Z
Q Oslash
Q asterisk
Q period
Q comma
Q colon
Q semicolon
Q exclam
Q question
Q slash
Q backslash
R A
R B
R C
R D
R E
R F
R G
R H
R I
R J
R K
R L
R M
R N
R O
R P
R Q
R R
R S
R T
R U
R V
R W
R X
R Y
R Z
R Oslash
R asterisk
R period
R comma
R colon
R semicolon
R exclam
R question
R slash
R backslash
S A
S B
S C
S D
S E
S F
S G
S H
S I
S J
S K
S L
S M
S N
S O
S P
S Q
S R
S S
S T
S U
S V
S W
S X
S Y
S Z
S Oslash
S asterisk
S period
S comma
S colon
S semicolon
S exclam
S question
S slash
S backslash
T A
T B
T C
T D
T E
T F
T G
T H
T I
T J
T K
T L
T M
T N
T O
T P
T Q
T R
T S
T T
T U
T V
T W
T X
T Y
T Z
T Oslash
T asterisk
T period
T comma
T colon
T semicolon
T exclam
T question
T slash
T backslash
U A
U B
U C
U D
U E
U F
U G
U H
U I
U J
U K
U L
U M
U N
U O
U P
U Q
U R
U S
U T
U U
U V
U W
U X
U Y
U Z
U Oslash
U asterisk
U period
U comma
U colon
U semicolon
U exclam
U question
U slash
U backslash
V A
V B
V C
V D
V E
V F
V G
V H
V I
V J
V K
V L
V M
V N
V O
V P
V Q
V R
V S
V T
V U
V V
V W
V X
V Y
V Z
V Oslash
V asterisk
V period
V comma
V colon
V semicolon
V exclam
V question
V slash
V backslash
W A
W B
W C
W D
W E
W F
W G
W H
W I
W J
W K
W L
W M
W N
W O
W P
W Q
W R
W S
W T
W U
W V
W W
W X
W Y
W Z
W Oslash
W asterisk
W period
W comma
W colon
W semicolon
W exclam
W question
W slash
W backslash
X A
X B
X C
X D
X E
X F
X G
X H
X I
X J
X K
X L
X M
X N
X O
X P
X Q
X R
X S
X T
X U
X V
X W
X X
X Y
X Z
X Oslash
X asterisk
X period
X comma
X colon
X semicolon
X exclam
X question
X slash
X backslash
Y A
Y B
Y C
Y D
Y E
Y F
Y G
Y H
Y I
Y J
Y K
Y L
Y M
Y N
Y O
Y P
Y Q
Y R
Y S
Y T
Y U
Y V
Y W
Y X
Y Y
Y Z
Y Oslash
Y asterisk
Y period
Y comma
Y colon
Y semicolon
Y exclam
Y question
Y slash
Y backslash
Z A
Z B
Z C
Z D
Z E
Z F
Z G
